,error
813,1.0663233637057687
814,20.581812938866015
815,1.2139722569859535
816,1.2017966118718946
817,1.504555421723957
818,19.313585453677362
819,4.655859336140863
820,2.1202255669479633
821,7.1763836815476605
822,1.6384216408287244
823,5.109310582068937
824,1.099065089495047
825,12.333333333333334
826,2.084967657139912
827,1.0715021166088012
828,15.239592024628132
829,1.0396187668316756
830,1.7836098556500561
831,6.098322559759029
832,1.0953394036935429
833,1.0159177754247042
834,2.089640919659003
835,10.093264248704664
836,1.1358810062784954
837,1.38217429018058
838,1.1028979477523415
839,11.331164047151278
840,1.4207350137801107
841,1.3723939245218078
842,1.4007050168204387
843,1.1628094271550387
844,1.010506427518626
845,1.75
846,1.5569802268539208
847,2.569527073120429
848,2.2131393430328483
849,2.440711099229754
850,1.1441993762639184
851,9.333202121488357
852,1.0767453946988508
853,7.2584841570828065
854,1.539744332149686
855,1.4367903227121186
856,1.248628058622248
857,3.6139122315592904
858,4.044035879450659
859,1.2905084146344294
860,2.8114793467819403
861,1.5110068994236283
862,1.1580996884735202
863,89.34883720930233
864,1.8970061194771926
865,1.2349260523321957
866,3.0850706362425586
867,1.07193538647343
868,1.3863459107233833
869,1.1779777737489954
870,6.358042960592308
871,1.4358512863049278
872,1.7470728137577753
873,3.5848696757787666
874,2.558901804158492
875,1.0258636529049867
876,14.581319723921258
877,1.210500715487159
878,1.0116524530912812
879,1.623925461224609
880,21.0
881,3.9331550802139037
882,1.121370732336306
883,2.179884563059773
884,7.775623277257951
885,1.3286713286713288
886,7.149362170562714
887,6.756710241386308
888,1.1790156890154417
889,1.1066459771039978
890,1.0969448020520043
891,1.1734150075490513
892,6.462984498941237
893,40.219843342036555
894,1.0613251117771336
895,1.0542482714369896
896,1.6633173607878151
897,1.5897108777388824
898,1.0096001108827397
899,1.940870272277344
900,1.8767982043196818
901,3.898989898989899
902,5.2
903,3.2383907436999566
904,3.4914151777710773
905,1.1428571428571428
906,1.826574955258373
907,2.0942693594243766
908,1.0212953223278878
909,1.3611586807878058
910,3.991820754351281
911,1.2586281091315947
912,1.0714055190484453
913,1.798780487804878
914,13.547031053096847
915,1.8732821849622978
916,14.07199220918697
917,5.204195824722362
918,1.3060678740329537
919,5.724214249292092
920,1.3836499321573947
921,5.233069837764093
922,1.095540856261275
923,5.833333333333333
924,1.0471368551165126
925,1.2243526525678516
926,1.9312002148548801
927,1.5468409586056644
928,2.2672065071353353
929,100.06349206349206
930,2.457412456946039
931,12.980431298386133
932,1.5855109846057645
933,1.1455980626991487
934,1.1701700337697731
935,1.6251048166473945
936,5.341669632361664
937,1.1461929874194896
938,1.3989247741094122
939,110.25247524752476
940,2.9473684210526314
941,2.5476640985166057
942,1.826843494811813
943,1.2489623044588938
944,1.027190799102774
945,6.0617478132248905
946,39.70583410914572
947,1.5731436443894622
948,5.157947468545063
949,2.200772200772201
950,3.081081081081081
951,1.0883142697136907
952,7.522326012534435
953,1.519752053009152
954,8.775470787059392
955,1.7134986225895317
956,1.1887702272710094
957,3.044633368756642
958,1.5218739856457604
959,2.328105301032102
960,1.522998474917634
961,1.2300601697648028
962,1.6682105266324305
963,1.3901833782811612
964,1.4425933360096346
965,23.235019455252917
966,6.442965829172005
967,2.5042735042735043
968,1.0619593587836267
969,1.0840117377330856
970,1.387516590208462
971,5.337579617834395
972,1.4181957186544343
973,1.823944847592694
974,8.7942027228323
975,1.2373334516362775
976,1.1069015460738318
977,8.032767800319762
978,1.971568785670609
979,1.1856020532874116
980,2.5984848484848486
981,1.1422510142499953
982,1.2509649568308787
983,2.1431251711859765
984,1.4642857142857142
985,1.0305304124285242
986,1.2064928173133833
987,6.639175257731959
988,1.6235563467329908
989,55.25
990,23.027906976744188
991,1.728627450980392
992,1.1566001765607483
993,1.3278810265974192
994,8.793650793650794
995,1.042572031097686
