,error0
1372,7.0
1373,3.4285714285714284
1374,33.0
1375,6.0
1376,2.0
1377,2.0
1378,4.0
1379,1.1666666666666667
1380,4.8
1381,15343.666666666666
1382,4.0
1383,3.0
1384,1.3333333333333333
1385,6.0
1386,1.3333333333333333
1387,9.2
1388,4.0
1389,3.0
1390,138234.16666666666
1391,2.5
1392,4.0
1393,9.0
1394,1.0
1395,4.0
1396,4.0
1397,6.0
1398,4.0
1399,10.2
1400,1.5
1401,2.6666666666666665
1402,2.0
1403,2.2222222222222223
1404,3.0
1405,3.0
1406,7.0
1407,2.4
1408,19.0
1409,16.0
1410,4.0
1411,15.666666666666666
1412,4.0
1413,1.25
1414,5.0
1415,1.1111111111111112
1416,10.0
1417,5.0
1418,12.0
1419,1.4
1420,12.0
1421,5.0
1422,8.0
1423,11.0
1424,1.5
1425,2.0
1426,3.0
1427,5.0
1428,7.0
1429,3.0
1430,2.0
1431,1.5
1432,1.75
1433,2.5
1434,7105.2
1435,2.0
1436,9.5
1437,3.0
1438,10.222222222222221
1439,2.5
1440,2.0
1441,5.666666666666667
1442,3.0
1443,4.0
1444,30.0
1445,3.0
1446,2.5
1447,1.0
1448,2.6666666666666665
1449,3.0
1450,5.0
1451,1.3333333333333333
1452,13.2
1453,2.5
1454,1.2105263157894737
1455,15.0
1456,1.2857142857142858
1457,2.5
1458,2.5
1459,47.5
1460,5.0
1461,8219.4
1462,5.0
1463,4.0
1464,5.0
1465,2.6666666666666665
1466,444.5
1467,1.6
1468,12.0
1469,27.0
1470,1.0
1471,6.0
1472,2.0
1473,6.0
1474,7.0
1475,4.0
1476,6.0
1477,4.0
1478,10.0
1479,1.0
1480,230753.0
1481,5.0
1482,2.5
1483,9.5
1484,2.3333333333333335
1485,10.5
1486,371.7
1487,2.5
1488,3.3333333333333335
1489,8.0
1490,4.0
1491,5.125
1492,4.0
1493,1.5
1494,97.77777777777777
1495,3.0
1496,5.222222222222222
1497,1.5
1498,2.0
1499,1.0
1500,4158.0
1501,7.5
1502,3.0
1503,4.0
1504,5.0
1505,52.142857142857146
1506,2.375
1507,42878.9
1508,3.6666666666666665
1509,6.0
1510,25771.125
1511,1.2
1512,9.0
1513,1.5
1514,5.0
1515,2.7777777777777777
1516,3414.5555555555557
1517,42.0
1518,14.0
1519,3.0
1520,1.0
1521,2.0
1522,1.6
1523,2.0
1524,6.0
1525,4.8
1526,6113.7
1527,3.0
1528,2.2222222222222223
1529,1.8333333333333333
1530,2.0
